51.161.35.79;80;64.235.204.107;3128
64.235.204.107;3128;167.71.247.244;8080
167.172.157.96;80;3.130.124.100;8080
159.203.61.169;3128;152.179.12.86;3128
67.207.83.225;80;169.48.87.253;3128
167.71.247.244;8080;152.180.10.101;80
50.206.25.108;80;139.59.188.157;8080
50.206.25.106;80;216.21.18.193;80
50.206.25.107;80;178.63.17.151;3128
50.206.25.109;80;186.97.156.130;999
50.206.25.111;80;34.245.170.188;80
50.206.25.110;80;195.201.34.206;80
50.206.25.105;80;181.78.20.250;999
50.206.25.104;80;45.225.88.219;999
54.237.184.135;80;170.82.115.58;999
92.204.129.161;80;45.225.88.221;999
68.188.59.198;80;160.20.166.211;999
35.172.135.29;80;195.201.61.51;8000
209.97.150.167;8080;131.221.41.156;999
198.199.86.11;8080;170.83.78.57;999
45.76.249.227;8888;37.120.169.116;8080
3.130.124.100;8080;20.52.186.11;80
152.179.12.86;3128;186.3.44.150;999
18.216.129.147;80;95.217.251.149;3128
74.205.128.200;80;186.3.44.202;999
71.13.131.142;80;190.131.214.205;8080
169.48.87.253;3128;191.234.166.244;80
144.202.41.138;3128;186.3.44.206;999
54.157.8.183;80;79.143.87.117;9090
66.119.169.237;80;144.91.86.144;3128
104.43.230.151;3128;188.166.159.187;8080
169.57.1.84;8123;45.225.88.222;999
167.172.203.244;8118;45.225.88.220;999
169.57.1.85;8123;34.122.40.247;3128
69.167.174.17;80;176.9.63.62;3128
